network,ad unit 1,ad unit 2,ad unit 3,ad unit 4,ad unit 5,"sizes (no spaces, comma separated, eg: 300x250,160x600,970x250)","label IDs(comma separate, eg: 783610,789370)"
9517547,facebook,,,,,300x250,
9517547,facebook,pgatour,,,,300x250,
9517547,facebook,pgatour,homepage,,,300x250,
9517547,facebook,pgatour,leaderboard,,,300x250,
9517547,facebook,pgatour,tournaments,,,300x250,
9517547,facebook,pgatour,tournaments,hyundai-tournament-of-champions,,300x250,
9517547,facebook,pgatour,tournaments,hyundai-tournament-of-champions,leaderboard,300x250,
9517547,facebook,pgatour,tournaments,presidents-cup,,300x250,
9517547,facebook,pgatour,tournaments,ryder-cup,,300x250,
9517547,facebook,pgatour,tournaments,schedule,,300x250,
9517547,facebook,pgatour,tournaments,quicken-loans-national,,300x250,
9517547,facebook,pgatour,tournaments,quicken-loans-national,leaderboard,300x250,
9517547,facebook,pgatour,tournaments,rbc-canadian-open,,300x250,
9517547,facebook,pgatour,tournaments,rbc-candian-open,,300x250,
9517547,facebook,pgatour,tournaments,deutsche-bank-championship,,300x250,
9517547,facebook,pgatour,tournaments,the-barclays,,300x250,
9517547,facebook,pgatour,tournaments,memorial-tournament-presented,,300x250,
9517547,facebook,pgatour,tournaments,travelers-championship,,300x250,
9517547,facebook,pgatour,tournaments,sony-open-in-hawaii,,300x250,
9517547,facebook,pgatour,tournaments,barracuda-championship,,300x250,
9517547,facebook,pgatour,tournaments,wells-fargo-championship,,300x250,
9517547,facebook,pgatour,tournaments,dean-deluca-invitational,,300x250,
9517547,facebook,pgatour,tournaments,farmers-insurance-open,,300x250,
9517547,facebook,pgatour,tournaments,the-memorial-tournament-presented-by-nationwide,,300x250,
9517547,facebook,pgatour,tournaments,zurich-classic-of-new-orleans,,300x250,
9517547,facebook,pgatour,tournaments,frys-com-open,,300x250,
9517547,facebook,pgatour,tournaments,justin-timberlake-shriners-hospitals,,300x250,
9517547,facebook,pgatour,tournaments,cimb-asia-pacific-classic,,300x250,
9517547,facebook,pgatour,tournaments,sanderson-farms-championship,,300x250,
9517547,facebook,pgatour,tournaments,mayakoba-golf-classic,,300x250,
9517547,facebook,pgatour,tournaments,the-rsm-classic,,300x250,
9517547,facebook,pgatour,tournaments,world-challenge-northwestern-mutual,,300x250,
9517547,facebook,pgatour,tournaments,franklin-templeton-shootout,,300x250,
9517547,facebook,pgatour,tournaments,humana-challenge-in-partnership,,300x250,
9517547,facebook,pgatour,tournaments,waste-management-phoenix-open,,300x250,
9517547,facebook,pgatour,tournaments,att-pebble-beach,,300x250,
9517547,facebook,pgatour,tournaments,northern-trust-open,,300x250,
9517547,facebook,pgatour,tournaments,honda-classic,,300x250,
9517547,facebook,pgatour,tournaments,valspar-championship,,300x250,
9517547,facebook,pgatour,tournaments,arnold-palmer-invitational-presented,,300x250,
9517547,facebook,pgatour,tournaments,puerto-rico-open-presented,,300x250,
9517547,facebook,pgatour,tournaments,shell-houston-open,,300x250,
9517547,facebook,pgatour,tournaments,the-masters,,300x250,
9517547,facebook,pgatour,tournaments,rbc-heritage,,300x250,
9517547,facebook,pgatour,tournaments,valero-texas-open,,300x250,
9517547,facebook,pgatour,tournaments,the-players,,300x250,
9517547,facebook,pgatour,tournaments,hp-byron-nelson-championship,,300x250,
9517547,facebook,pgatour,tournaments,fedex-st-jude-classic,,300x250,
9517547,facebook,pgatour,tournaments,us-open,,300x250,
9517547,facebook,pgatour,tournaments,greenbrier-classic,,300x250,
9517547,facebook,pgatour,tournaments,barbasol-championship,,300x250,
9517547,facebook,pgatour,tournaments,the-open-championship,,300x250,
9517547,facebook,pgatour,tournaments,pga-championship,,300x250,
9517547,facebook,pgatour,tournaments,john-deere-classic,,300x250,
9517547,facebook,pgatour,tournaments,wyndham-championship,,300x250,
9517547,facebook,pgatour,tournaments,bmw-championship,,300x250,
9517547,facebook,pgatour,tournaments,tour-championship-by-coca,,300x250,
9517547,facebook,pgatour,fantasy,,,300x250,
9517547,facebook,pgatour,fantasy,rookierankings,,300x250,
9517547,facebook,pgatour,fantasy,metlife,,300x250,
9517547,facebook,pgatour,players,,,300x250,
9517547,facebook,pgatour,players,landing,,300x250,
9517547,facebook,pgatour,styleinsider,,,300x250,
9517547,facebook,pgatour,wellness,,,300x250,
9517547,facebook,pgatour,neverhappened,,,300x250,
9517547,facebook,pgatour,mondayfinish,,,300x250,
9517547,facebook,pgatour,upshot,,,300x250,
9517547,facebook,pgatour,onetwentyfiveandin,,,300x250,
9517547,facebook,pgatour,readiness,,,300x250,
9517547,facebook,pgatour,passback,,,300x250,
9517547,facebook,pgatour,passback,fantasy,,300x250,
9517547,facebook,pgatour,passback,fantasy,metlife,300x250,
9517547,facebook,pgatour,passback,fantasygolf,,300x250,
9517547,facebook,pgatour,passback,fantasybracket,,300x250,
