Dimension.MONTH_AND_YEAR,Column.REACH,Network
2016-06,60326830,7287
2016-06,44300162,6011
2016-06,41551544,4788
2016-06,25439433,4216
2016-06,25165591,6178
2016-06,24790087,9389
2016-06,17196734,4595
2016-06,16595216,108939068
2016-06,14618637,5578
2016-06,10798694,4624
2016-06,8535119,61381659
2016-06,6931517,3824
2016-06,6703389,5936
2016-06,6039826,27342165
2016-06,6016944,8788
2016-06,5407086,47017164
2016-06,4803644,9517547
2016-06,4316622,6850
2016-06,4225853,8905
2016-06,4099020,308522
2016-06,3861611,9108
2016-06,2957179,245328236
2016-06,2737391,9729793
2016-06,2523155,1053034
2016-06,2437939,5809
2016-06,1741072,6479
2016-06,1714522,5565
2016-06,1522931,1006611
2016-06,1342719,4688
2016-06,1196243,2441
2016-06,819584,9621
2016-06,737167,5681
2016-06,685168,1066735
2016-06,663236,4260617
2016-06,616145,17748645
2016-06,606610,5431
2016-06,599490,617
2016-06,573920,8798
2016-06,573289,8800
2016-06,531084,6654
2016-06,321396,19565616
2016-06,317567,5993
2016-06,316709,8776
2016-06,160618,52681147
2016-06,117257,9107
2016-06,115762,121767418
2016-06,108608,5184
