"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1006611"
"2015-06","1 x 1","10606","1006611"
"2015-06","1024 x 90","272","1006611"
"2015-06","150 x 40","78082","1006611"
"2015-06","250 x 100","3547427","1006611"
"2015-06","300 x 250","25280833","1006611"
"2015-06","300 x 600","257860","1006611"
"2015-06","320 x 480","40227","1006611"
"2015-06","320 x 50","180658","1006611"
"2015-06","400 x 300","3727368","1006611"
"2015-06","560 x 200","6046085","1006611"
"2015-06","640 x 480","191902","1006611"
"2015-06","728 x 90","16938240","1006611"
"2015-06","768 x 1024","1610","1006611"
"2015-06","768 x 90","3742","1006611"
"2015-06","980 x 30","5899604","1006611"
"2015-07","1 x 1","438497","1006611"
"2015-07","150 x 40","41783","1006611"
"2015-07","226 x 90","1","1006611"
"2015-07","250 x 100","3827674","1006611"
"2015-07","300 x 250","26269172","1006611"
"2015-07","300 x 600","230668","1006611"
"2015-07","320 x 480","2","1006611"
"2015-07","320 x 50","9052","1006611"
"2015-07","400 x 300","4034178","1006611"
"2015-07","560 x 200","3732539","1006611"
"2015-07","640 x 480","474177","1006611"
"2015-07","728 x 90","17627515","1006611"
"2015-07","728 x 91","581717","1006611"
"2015-07","768 x 1024","1","1006611"
"2015-07","980 x 30","6374485","1006611"
"2015-08","1 x 1","6910","1006611"
"2015-08","1024 x 90","304","1006611"
"2015-08","150 x 40","35643","1006611"
"2015-08","226 x 90","4","1006611"
"2015-08","250 x 100","3381181","1006611"
"2015-08","300 x 250","24218508","1006611"
"2015-08","300 x 600","224552","1006611"
"2015-08","320 x 480","31120","1006611"
"2015-08","320 x 50","161272","1006611"
"2015-08","400 x 300","3639440","1006611"
"2015-08","560 x 200","4045389","1006611"
"2015-08","640 x 480","135315","1006611"
"2015-08","728 x 90","16055763","1006611"
"2015-08","768 x 1024","1561","1006611"
"2015-08","768 x 90","3918","1006611"
"2015-08","980 x 30","5712311","1006611"
"2015-09","1 x 1","61880","1006611"
"2015-09","1024 x 90","208","1006611"
"2015-09","150 x 40","37545","1006611"
"2015-09","250 x 100","2863025","1006611"
"2015-09","300 x 250","24475593","1006611"
"2015-09","300 x 600","380232","1006611"
"2015-09","320 x 480","36125","1006611"
"2015-09","320 x 50","144194","1006611"
"2015-09","400 x 300","3068383","1006611"
"2015-09","560 x 200","7850818","1006611"
"2015-09","640 x 480","287622","1006611"
"2015-09","728 x 90","15490968","1006611"
"2015-09","728 x 91","82281","1006611"
"2015-09","768 x 1024","1528","1006611"
"2015-09","768 x 90","3581","1006611"
"2015-09","980 x 30","4969960","1006611"
"2015-09","Out-of-page","1813","1006611"
"2015-10","1 x 1","364607","1006611"
"2015-10","1024 x 90","105","1006611"
"2015-10","226 x 90","1","1006611"
"2015-10","250 x 100","3834516","1006611"
"2015-10","300 x 250","26564521","1006611"
"2015-10","300 x 600","5039990","1006611"
"2015-10","320 x 480","34940","1006611"
"2015-10","320 x 50","144733","1006611"
"2015-10","400 x 300","3984374","1006611"
"2015-10","560 x 200","10288209","1006611"
"2015-10","640 x 480","292552","1006611"
"2015-10","728 x 90","18197921","1006611"
"2015-10","728 x 91","447320","1006611"
"2015-10","768 x 1024","1226","1006611"
"2015-10","768 x 90","3065","1006611"
"2015-10","980 x 30","5963213","1006611"
"2015-10","Out-of-page","344323","1006611"
"2015-11","1 x 1","40497","1006611"
"2015-11","250 x 100","3601536","1006611"
"2015-11","300 x 250","20599540","1006611"
"2015-11","300 x 251","12","1006611"
"2015-11","300 x 600","5740736","1006611"
"2015-11","320 x 100","10","1006611"
"2015-11","320 x 50","16","1006611"
"2015-11","400 x 300","3814881","1006611"
"2015-11","560 x 200","9205904","1006611"
"2015-11","640 x 480","301101","1006611"
"2015-11","728 x 90","17006661","1006611"
"2015-11","980 x 30","5925765","1006611"
"2015-11","Out-of-page","25676","1006611"
"2015-12","1 x 1","449769","1006611"
"2015-12","1024 x 90","76","1006611"
